"id","alat","alon","address","district","plz","educational","topics","languages","name","type","parent","parentType","mo_o","mo_c","tu_o","tu_c","we_o","we_c","th_o","th_c","fr_o","fr_c","all","over","under"
"1324","52.41629","13.36707","Domagkstr. 4","Marienfelde","12277","","","","Kita Domagkstr. 4/Kitas Süd-West","0","709","0","06:00","17:00","06:00","17:00","06:00","17:00","06:00","17:00","06:00","17:00","110","83","27"
"484","52.5788","13.48253","Dorfstr. 37","Malchow","13051","1","","","Kita Dorfstr. 37 (Malchow)/Kigä NordOst","0","0","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","50","34","16"
"2172","52.57425","13.51609","Dorfstr. 4A","Wartenberg","13059","5","","","Kita Dorfstr. 4A (Wartenberg)/Kigä NordOst","0","0","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","35","25","10"
"2173","52.5699","13.53768","Dorfstr. 5","Falkenberg","13057","","","","Kita Dorfstr. 5 (Falkenberg)/Kigä NordOst","0","0","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","50","33","17"
"198","52.46308","13.48649","Dornbrunner Str. 17","Baumschulenweg","12437","2","","","Kita Dornbrunner Str. 17/Kitas SüdOst","0","6","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","68","50","18"
"265129","52.48478","13.52253","Dorotheastr. 27","Karlshorst","10318","2","","","Kita Dorothea","0","706","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","43","22","21"
"260","52.55309","13.1532","Stadtrandstr. 493 -499","Falkenhagener Feld","13589","2","2","","Kita Drachenburg","0","717","0","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","131","99","32"
"478129","52.54822","13.42291","Gudvanger Str. 12","Prenzlauer Berg","10439","13","1|2|4|6","","Kita Drachenhöhle","0","715","1","08:00","17:00","08:00","17:00","08:00","17:00","08:00","17:00","08:00","17:00","26","16","10"
"769","52.55043","13.26958","An der Mäckeritzbrücke 4","Tegel","13629","10","","","Kita Dreieinigkeit","0","60","4","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","15","15","0"
"645","52.5475","13.44276","Mandelstr. 13","Prenzlauer Berg","10409","2","2|4","","Kita Dreikäsehoch","0","768","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","73","45","28"
"581","52.43812","13.331","Beethovenstr. 34","Lankwitz","12247","2","","","Kita Dreikäse-Hoch (Wohneinheit links)","0","696","1","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","45","35","10"
"64","52.55157","13.40558","Driesener Str. 24","Prenzlauer Berg","10439","","","","Kita Drieselmäuse","0","747","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","63","36","27"
"1377","52.46883","13.46989","Drosselbartstr. 6","Neukölln","12057","4","","","Kita Drosselbartstr. 6/Kitas SüdOst","0","6","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","71","55","16"
"2787","52.47167","13.4474","Kanner Str. 12","Neukölln","12055","2","","","Kita Du und Ich","0","10","3","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","98","98","0"
"1076","52.49669","13.3147","Düsseldorfer Str. 53A","Wilmersdorf","10719","3","0|1|2|4|6","","Kita Düsseldorfer Straße","0","717","0","07:00","18:00","07:00","18:00","07:00","18:00","07:00","18:00","07:00","18:00","108","96","12"
"335129","52.51393","13.56886","Brebacher Weg 15 Haus 50","Biesdorf","12683","2","0|4","1","Kita Dussmann","0","909","1","06:00","21:00","06:00","21:00","06:00","21:00","06:00","21:00","06:00","21:00","80","60","20"
